Name,lng,lat,Number of charging spots (快充;慢充)
依威能源汽车充电站(健兴楼),113.95283974141437,22.56873811784177,0;2
依威能源充电站(笋岗工艺城),114.10782723318422,22.559768456875,0;3
依威能源充电站(龙华公寓),114.04282021991558,22.64856799681555,0;3
依威能源充电站(水晶山庄),114.0510316609585,22.707902891820307,0;6
依威能源充电站(福安阁),113.9197802907449,22.527646523400186,0;6
依威能源充电站(樟坑一区),114.03773166665266,22.615705366861082,0;12
依威能源充电站(文博宫),114.10198593235307,22.603452428973732,0;2
依威能源充电站(御珑豪园),114.05751531334168,22.638024511329455,0;7
依威能源充电站(壹海城商业区),114.23753867539325,22.554126406668104,0;18
依威能源充电站(合正汇一城),113.86426517463399,22.57602741074692,0;8
依威能源充电站(赤花岭小区),114.05782621537996,22.725131329879837,0;3
依威能源充电站(卓然居),114.1696479472854,22.643024396409086,0;6
依威能源充电站(金荣诚时代广场),113.80015702315093,22.729657768567247,0;45
依威能源充电站(锦驰创新城),113.79656345693788,22.728203320525978,0;20
依威能源充电站(牛栏前大厦),114.03712323804277,22.633987440358574,0;6
依威能源充电站(罗屋围小区),114.01104086067446,22.685891808395215,0;6
依威能源充电站(雅豪轩),113.8936988536611,22.575296246580482,0;3
依威能源充电站(东部商务酒店),114.41198420267534,22.761640279844947,2;6
依威能源充电站(华盛智荟大厦),113.8177058458378,22.73186447187091,0;18
依威能源充电站(煜丰泽花园广场),114.02105275844767,22.661776965034623,0;3
依威能源充电站(格坑工业区),114.29453414292028,22.784054137224317,0;2
依威能源充电站(壹伍陆汽车服务),113.89227514442932,22.55986789120874,1;3
依威能源充电站(紫薇花园西区),114.23939824076655,22.717764927233087,0;3
依威能源充电站(御景湾),113.87474478341286,22.561911079452532,0;5
依威能源充电站(瑞泽佳园),114.18237342012704,22.644838526548774,0;5
依威能源充电站(金瑞中核高科技工业园),113.99730214909516,22.672854965549835,0;6
依威能源充电站(新天CBC),114.05334336349627,22.520180211506553,0;9
依威能源充电站(鹏城汇合智造创新园),113.81954539574761,22.74796890991329,0;6
依威能源充电站(健君园),114.06794175246146,22.57099145703107,0;3
依威能源充电站(龙湖君荟时尚公寓),114.04389550635497,22.670203965037775,0;3
依威能源充电站(紫薇苑西区),114.24091907267768,22.71445085495612,0;3
依威能源充电站(金水湾),114.2572015926647,22.591235924810068,0;5
依威能源充电站(龙福一村),114.24608216764312,22.72499049641992,0;3
依威能源充电站(君荟名庭),114.12270693556111,22.550644638907354,0;3
依威能源充电站(园心苑),114.07410181101112,22.549183747662106,0;3
依威能源充电站(御景台),113.9121327220666,22.559756268903666,0;3
依威能源充电站(御府名筑),114.24900108745365,22.728619074172595,0;6
依威能源充电站(上善居),113.80635665460308,22.747560926592058,0;3
依威能源充电站(玉雅居),114.18548758900596,22.555988077816494,0;6
依威能源充电站(嘉欣园),114.21643089190276,22.710408940883607,0;6
依威能源充电站(碧岭华庭),114.12637973034549,22.578429038392215,0;4
依威能源充电站(翠景山庄),114.12790486943244,22.578255990196812,0;3
依威能源充电站(丹翠欣苑),114.14087705615816,22.625509129738806,0;6
依威能源充电站(金阳成大厦),114.28640742157813,22.735540337677037,0;3
依威能源充电站(顺道行汽车永香店),114.06541287843903,22.62127341383073,0;1
依威能源充电站(岁宝百货),114.23761501140207,22.710967173726615,0;2
依威能源充电站(湛宝大厦),114.19502343198087,22.643291206024625,0;10
依威能源充电站(中港城),114.05332220341457,22.51653366229771,0;3
依威能源充电站(启迪科技园),114.14687652780424,22.6079639730013,0;2
依威能源充电站(龙岗世贸中心),114.2454221666514,22.7166951083413,0;2
依威能源充电站(顺道行汽车工业店),114.02578656693169,22.64370624753445,0;1
依威能源充电站(布吉慢城三期),114.12758411598912,22.6250398658064,0;5
依威能源充电站(金海雅居),114.27591390322249,22.58671633677298,0;3
依威能源充电站(龙塘村),114.01696229985704,22.63036952536024,0;8
依威能源充电站(洪湖东岸),114.12341656184319,22.568873111636506,0;5
