Name,lng,lat,Number of charging spots (快充;慢充)
依威能源汽车充电站(健兴楼),113.94794787914576,22.57173218352362,0;2
依威能源充电站(笋岗工艺城),114.10271160928802,22.56245036896439,0;3
依威能源充电站(龙华公寓),114.03772153236017,22.651301680114905,0;3
依威能源充电站(水晶山庄),114.04591591412363,22.71060487810222,0;6
依威能源充电站(福安阁),113.91492104189422,22.530693604318227,0;6
依威能源充电站(樟坑一区),114.03264447448593,22.618457135187857,0;12
依威能源充电站(文博宫),114.09686144725408,22.606127472211643,0;2
依威能源充电站(御珑豪园),114.05239557805064,22.640730117689156,0;7
依威能源充电站(壹海城商业区),114.232704325736,22.5569882150824,0;18
依威能源充电站(合正汇一城),113.85934146470143,22.579049667153757,0;8
依威能源充电站(赤花岭小区),114.05270041411302,22.727815693876835,0;3
依威能源充电站(卓然居),114.16466080840009,22.645778614730737,0;6
依威能源充电站(金荣诚时代广场),113.79505981578347,22.73253624098262,0;45
依威能源充电站(锦驰创新城),113.7914580214165,22.731076605441515,0;20
依威能源充电站(牛栏前大厦),114.03203603125537,22.63673756346161,0;6
依威能源充电站(罗屋围小区),114.00600913194896,22.68870318263713,0;6
依威能源充电站(雅豪轩),113.88882430372072,22.578345265931112,0;3
依威能源充电站(东部商务酒店),114.4070350027183,22.764277408222025,2;6
依威能源充电站(华盛智荟大厦),113.81265276991289,22.73477290096769,0;18
依威能源充电站(煜丰泽花园广场),114.01599839044866,22.664564610157353,0;3
依威能源充电站(格坑工业区),114.28968422835463,22.786832623354684,0;2
依威能源充电站(壹伍陆汽车服务),113.88739998982852,22.56291791263954,1;3
依威能源充电站(紫薇花园西区),114.2345555329342,22.720597446973905,0;3
依威能源充电站(御景湾),113.86984311651618,22.56494772712279,0;5
依威能源充电站(瑞泽佳园),114.17742059624815,22.647616349820854,0;5
依威能源充电站(金瑞中核高科技工业园),113.99230590470184,22.67571089628566,0;6
依威能源充电站(新天CBC),114.04823661132228,22.52290704372525,0;9
依威能源充电站(鹏城汇合智造创新园),113.81449616221708,22.750875954610855,0;6
依威能源充电站(健君园),114.06281641487999,22.573690608159218,0;3
依威能源充电站(龙湖君荟时尚公寓),114.03879354202967,22.672930575643267,0;3
