license,begin_time,end_time,load_hotspot,drop_hotspot,od_distance,traveled_from_charged,to_charge,cs_index,cs_name
0,2014-07-01 00:00:00.000000,2014-07-01 00:04:42.444444,8,44,2.03507001737425,2.03507001737425,0,,
0,2014-07-01 01:21:35.444444,2014-07-01 01:36:51.944444,84,24,9.902308871212034,58.50822770261682,0,,
0,2014-07-01 01:58:01.944444,2014-07-01 02:10:38.944444,57,11,7.84548887933651,70.99564233882164,0,,
0,2014-07-01 02:20:48.553140,2014-07-01 02:27:01.553140,13,13,2.6129713637590566,74.55166080819339,0,,
0,2014-07-01 02:40:02.053140,2014-07-01 02:47:29.053140,26,11,5.618905235661948,81.56281924937005,0,,
0,2014-07-01 03:02:20.386473,2014-07-01 03:16:33.386473,16,10,6.587370007420122,89.49154428759542,0,,
0,2014-07-01 03:31:32.386473,2014-07-01 03:37:29.386473,37,11,9.334210624444042,102.41650957202096,0,,
0,2014-07-01 03:57:44.186473,2014-07-01 04:05:21.186473,12,16,2.8512259325893874,107.34655451613219,0,,
0,2014-07-01 05:36:22.931232,2014-07-01 05:50:43.931232,65,3,10.557202888022287,117.90375740415448,0,,
0,2014-07-01 06:19:44.931232,2014-07-01 06:25:22.931232,8,12,2.4480195073731963,122.21296509820777,1,0,A01
0,2014-07-01 08:30:57.931232,2014-07-01 08:38:44.831232,11,10,1.9922515900725704,6.893602734483428,0,,
0,2014-07-01 09:23:39.831232,2014-07-01 09:37:37.831232,84,27,4.451410217955212,18.09492980410695,0,,
0,2014-07-01 09:58:00.164565,2014-07-01 10:04:06.164565,30,41,2.410421321702142,22.009716166112376,0,,
0,2014-07-01 10:33:04.164565,2014-07-01 10:52:28.164565,84,87,4.3798085670124935,27.428671049183986,0,,
0,2014-07-01 11:06:02.914565,2014-07-01 11:25:21.914565,96,82,15.171970573382364,43.311908444748106,1,5,B04
0,2014-07-01 13:12:27.914565,2014-07-01 13:27:12.914565,43,75,9.290105118539412,13.21546833592746,0,,
0,2014-07-01 14:00:01.914565,2014-07-01 14:09:41.914565,87,70,5.4552620667964815,31.016894354804084,0,,
0,2014-07-01 14:28:11.914565,2014-07-01 14:35:09.714565,14,26,2.522046794316957,36.349540970979284,0,,
0,2014-07-01 15:42:51.714565,2014-07-01 15:50:48.714565,10,12,1.6731266424069249,51.19043565805656,1,0,A01
0,2014-07-01 17:32:29.285994,2014-07-01 17:38:52.952661,10,8,2.02753433885145,3.210632246580385,0,,
0,2014-07-01 22:18:26.952661,2014-07-01 22:34:15.952661,17,15,9.174288086688462,33.75705057578236,0,,
0,2014-07-01 23:23:15.285994,2014-07-01 23:28:56.285994,1,37,3.389037804484659,45.177959714432305,0,,
0,2014-07-01 23:40:53.035994,2014-07-01 23:49:31.035994,46,95,2.6199810742498517,49.42583640292629,0,,
0,2014-07-02 00:10:50.035994,2014-07-02 00:16:19.327661,0,5,1.6749721661648898,65.72296180562543,0,,
0,2014-07-02 00:30:13.875280,2014-07-02 00:56:05.875280,2,89,24.007451346160106,90.56215712718598,0,,
0,2014-07-02 01:18:36.375280,2014-07-02 01:32:01.375280,52,14,12.481795864324287,106.08559662593609,0,,
0,2014-07-02 01:52:53.954227,2014-07-02 02:00:50.483639,0,14,2.5027764207424785,112.25652838836761,0,,
0,2014-07-02 02:16:40.733639,2014-07-02 02:36:57.733639,29,79,9.612067127419339,122.8185136352139,0,,
0,2014-07-02 02:45:40.733639,2014-07-02 02:55:21.733639,164,91,4.3131118543723845,130.60681002607734,0,,
0,2014-07-02 03:41:51.733639,2014-07-02 03:49:05.233639,69,36,4.71946200767004,140.0762540834978,0,,
0,2014-07-02 04:33:24.233639,2014-07-02 04:39:27.766972,0,5,1.6749721661648898,149.10527327849798,0,,
0,2014-07-02 05:05:12.382357,2014-07-02 05:10:30.882357,0,5,1.6749721661648898,153.47383882100883,0,,
0,2014-07-02 05:18:45.882357,2014-07-02 05:37:01.882357,47,54,3.261814516231225,158.15264091833927,0,,
0,2014-07-02 06:18:20.882357,2014-07-02 06:32:02.882357,22,5,6.9042977081232815,176.57085874482848,0,,
0,2014-07-02 07:43:51.687752,2014-07-02 07:55:56.687752,122,75,2.5529584003507053,179.1238171451792,0,,
0,2014-07-02 08:12:31.587752,2014-07-02 08:17:52.587752,108,106,2.2559288910445177,182.26974995329067,1,2,N04
0,2014-07-02 10:09:03.587752,2014-07-02 10:16:46.587752,130,98,0.8761019779185202,2.5872820109210566,0,,
0,2014-07-02 10:49:55.587752,2014-07-02 11:26:28.587752,144,184,30.608980139843315,41.65813944343278,0,,
0,2014-07-02 12:21:00.587752,2014-07-02 12:27:44.921085,169,63,1.362772191823595,54.1683281108638,0,,
0,2014-07-02 12:48:38.921085,2014-07-02 12:51:14.921085,51,78,1.863266413439524,57.33420019250361,0,,
0,2014-07-02 13:03:30.421085,2014-07-02 13:16:22.421085,22,1,7.422199439371639,68.32684205117819,0,,
0,2014-07-02 13:26:11.421085,2014-07-02 13:37:21.421085,16,14,4.679291311377015,76.80078152679916,0,,
0,2014-07-02 13:49:19.171085,2014-07-02 14:04:27.337752,29,2,3.3168283985147786,81.06752804474088,0,,
0,2014-07-02 14:44:09.480609,2014-07-02 15:09:46.480609,0,71,14.658688074237626,98.72808980891003,0,,
0,2014-07-02 15:33:55.480609,2014-07-02 15:52:03.480609,14,41,9.355703463781444,111.34008266909765,0,,
0,2014-07-02 16:02:22.980609,2014-07-02 16:15:00.980609,150,34,2.6540296310175746,115.58267306985286,0,,
0,2014-07-02 17:01:25.980609,2014-07-02 17:06:51.980609,26,57,2.201833889089316,136.12465723177934,0,,
0,2014-07-02 17:26:03.980609,2014-07-02 17:33:02.980609,17,11,1.5213781012809562,143.94478766839293,1,16,N02
0,2014-07-02 19:19:35.647276,2014-07-02 19:55:38.647276,16,89,18.871012060095467,20.212367090900717,0,,
0,2014-07-02 21:03:22.647276,2014-07-02 21:10:03.980609,32,8,2.4824510180420645,49.35393731502938,0,,
0,2014-07-02 21:39:54.480609,2014-07-02 21:50:23.147276,20,88,3.2461345911926687,63.746136322758936,0,,
0,2014-07-02 22:11:42.147276,2014-07-02 22:18:40.147276,92,88,2.512643806953488,67.24468075410097,0,,
0,2014-07-02 22:46:52.147276,2014-07-02 23:02:11.147276,59,137,12.217277440864613,86.06476620106031,0,,
0,2014-07-02 23:58:50.147276,2014-07-03 00:19:10.147276,36,31,1.7142847137079567,95.82076564295424,0,,
0,2014-07-03 02:07:15.725507,2014-07-03 02:19:13.725507,69,38,2.2855920999064065,98.10635774286065,0,,
0,2014-07-03 02:32:03.725507,2014-07-03 02:39:02.475507,54,0,3.957997598278678,104.71335243628505,0,,
0,2014-07-03 03:09:00.697729,2014-07-03 03:26:42.197729,16,6,3.3711620196087018,113.17176755211938,0,,
0,2014-07-03 05:02:58.197729,2014-07-03 05:07:07.197729,17,7,2.218604240402005,119.20562812841676,0,,
0,2014-07-03 05:21:28.197729,2014-07-03 05:27:29.997729,4,7,1.3610561239619443,122.19621786248095,0,,
0,2014-07-03 05:45:06.797729,2014-07-03 05:58:29.797729,4,69,7.464432861254012,131.2901843338372,0,,
0,2014-07-03 06:18:43.797729,2014-07-03 06:28:45.797729,41,53,5.774715540618284,149.71033887438523,0,,
0,2014-07-03 07:04:29.797729,2014-07-03 07:12:17.406425,4,3,2.9804061460476023,169.3603148094758,0,,
0,2014-07-03 07:35:23.206425,2014-07-03 07:40:39.873092,4,16,2.0828957288061494,175.69379072837975,0,,
0,2014-07-03 08:15:34.873092,2014-07-03 08:24:32.873092,0,5,1.6749721661648898,188.57664563225023,1,0,A01
0,2014-07-03 10:06:02.473092,2014-07-03 10:11:03.584203,0,0,1.3156994594421731,4.0092928357881386,0,,
0,2014-07-03 10:24:23.054791,2014-07-03 10:31:19.911934,0,14,2.5027764207424785,7.539718368957574,0,,
0,2014-07-03 11:21:53.411934,2014-07-03 11:33:26.411934,0,52,5.473859524276193,16.681733234922813,0,,
0,2014-07-03 11:51:31.411934,2014-07-03 11:57:15.745267,24,38,2.4113395476131942,24.85477896673789,0,,
0,2014-07-03 12:06:53.745267,2014-07-03 12:14:21.745267,53,50,2.5593959482141435,28.516474911543916,0,,
0,2014-07-03 12:29:43.078600,2014-07-03 12:36:03.078600,62,61,1.885451605555164,31.235207326772244,0,,
0,2014-07-03 13:03:23.078600,2014-07-03 13:07:06.078600,69,57,3.599444150778357,41.57897758281423,1,7,C01
0,2014-07-03 14:48:52.578600,2014-07-03 15:00:02.578600,49,187,8.161164316989897,8.943483037323576,0,,
0,2014-07-03 15:22:00.578600,2014-07-03 15:50:42.578600,52,17,8.762008620768206,20.53576041564737,0,,
0,2014-07-03 16:08:50.578600,2014-07-03 16:24:17.078600,17,6,4.082447855095337,25.725395292279728,0,,
0,2014-07-03 16:33:56.745267,2014-07-03 16:41:51.745267,4,43,3.383789577094616,30.10195513043611,0,,
0,2014-07-03 16:56:10.745267,2014-07-03 17:01:47.745267,46,39,2.9879214123424265,33.93040980651947,0,,
0,2014-07-03 18:04:01.745267,2014-07-03 18:14:53.745267,17,23,8.039450995488988,44.083624738693345,0,,
0,2014-07-03 19:03:09.745267,2014-07-03 19:20:55.745267,52,17,8.762008620768206,66.93002769463368,0,,
0,2014-07-03 19:38:46.995267,2014-07-03 20:03:27.995267,17,56,17.752155207426796,85.78936992359749,0,,
0,2014-07-03 20:43:46.995267,2014-07-03 21:09:51.995267,40,37,5.741152370647128,115.08174203343826,0,,
0,2014-07-03 21:37:04.995267,2014-07-03 21:57:01.661934,28,0,7.3126178720769905,126.9212990407533,0,,
0,2014-07-03 22:18:14.519077,2014-07-03 22:36:30.519077,6,81,8.963444253038586,139.1067081181076,0,,
0,2014-07-03 22:45:38.519077,2014-07-03 22:52:46.519077,150,34,2.6540296310175746,143.25291693391094,0,,
0,2014-07-03 23:10:13.019077,2014-07-03 23:37:18.019077,33,63,12.751591754551024,158.9422099204634,0,,
0,2014-07-03 23:55:13.719077,2014-07-03 23:59:04.719077,51,68,1.7261452023336394,161.9709607909973,0,,
0,2014-07-04 00:14:56.719077,2014-07-04 00:32:34.719077,101,13,11.13648806436522,177.67106038261107,0,,
0,2014-07-04 01:09:35.719077,2014-07-04 01:34:06.719077,9,113,19.48889099458406,211.9397076732303,1,20,F08
0,2014-07-04 04:59:43.759641,2014-07-04 05:11:15.759641,50,158,9.624212656020912,9.624212656020912,0,,
0,2014-07-04 05:45:29.759641,2014-07-04 06:11:01.759641,100,47,22.581401037404376,33.95243994622502,0,,
0,2014-07-04 06:34:28.759641,2014-07-04 06:38:21.259641,85,108,1.7587209558787869,40.117190166328186,0,,
0,2014-07-04 06:57:07.259641,2014-07-04 07:17:58.259641,64,2,19.243275796208344,63.28266096679346,0,,
0,2014-07-04 08:44:19.259641,2014-07-04 08:53:53.545355,7,0,2.48951512706298,72.63945830647044,0,,
0,2014-07-04 13:45:14.545355,2014-07-04 13:51:08.345355,33,81,1.9500941405541357,96.73824804234101,0,,
0,2014-07-04 14:29:45.345355,2014-07-04 17:51:04.345355,40,71,5.431518379340483,107.1203204866502,0,,
0,2014-07-04 19:00:45.393548,2014-07-04 19:34:47.893548,14,0,13.738683269527035,120.85900375617723,0,,
0,2014-07-04 19:51:39.960215,2014-07-04 20:01:14.626882,0,2,2.1188632039583006,124.00551607256249,0,,
0,2014-07-04 20:21:50.626882,2014-07-04 20:35:38.626882,80,56,4.715061671188208,182.48221821123516,1,0,A01
0,2014-07-04 22:31:19.710215,2014-07-04 22:45:49.710215,43,34,9.912972872312112,11.13367673651089,0,,
0,2014-07-04 22:59:16.460215,2014-07-04 23:08:28.460215,59,15,8.797484297088774,21.392420412012232,0,,
0,2014-07-04 23:20:21.160215,2014-07-04 23:25:22.493548,18,9,1.8423252627628683,24.65793054292911,0,,
0,2014-07-04 23:45:35.922119,2014-07-04 23:53:24.922119,1,34,4.54180092539454,32.54511683550717,0,,
0,2014-07-05 00:19:30.922119,2014-07-05 00:40:47.922119,27,102,16.319605003052942,53.13026483144296,0,,
0,2014-07-05 01:35:14.922119,2014-07-05 01:56:19.922119,113,81,18.671766187316027,89.44009645249841,0,,
