plate,coarse_index,arrived,start,end,cs,quality
粤B0AA56,0,186,186,288,A01,good
粤B0AA56,2,814,814,862,A01,good
粤B0AA56,3,1072,1072,1159,A01,good
粤B0AA56,4,1485,1485,1582,A01,good
粤B0AA56,6,2058,2058,2098,A01,good
粤B0AA56,22,7966,7966,8020,A01,good
粤B0AA56,50,17848,17849,17924,A01,good
粤B0AB41,2,28083,28084,28142,A01,good
粤B0AB41,9,31713,31714,31856,A01,good
粤B0AA56,43,15628,15628,15688,A02,good
粤B0AA56,71,25791,25791,25841,A02,good
粤B0BX67,64,646138,646138,646185,A03,good
粤B0BY70,13,795946,795947,796068,A03,good
粤B0BA49,13,238501,238511,238559,A08,good
粤B7BB81,8,8331127,8331127,8331194,A08,good
粤B7BB81,54,8352259,8352261,8352339,A08,good
粤B0AF42,33,124068,124069,124167,A09,good
粤B0BA42,7,168097,168098,168198,A09,good
粤B0AA56,38,14061,14061,14136,A10,good
粤B0AA56,58,20814,20817,20928,A10,good
粤B0AA56,65,23224,23225,23310,A10,good
粤B0AF47,41,152550,152569,152642,A10,good
粤B0AB41,21,37094,37094,37196,B04,good
粤B0AD42,40,97523,97525,97581,B04,good
粤B0AF42,39,126654,126654,126765,B04,good
粤B0AB41,22,37658,37659,37793,C01,good
粤B0AB41,32,43305,43305,43475,C01,medium
粤B0AB41,35,45458,45506,45586,C01,medium
粤B0AC42,0,54012,54012,54134,C01,bad
粤B0BA47,0,217319,217319,217422,C01,bad
粤B0BA47,1,217705,217705,217734,C01,bad
粤B0BA49,27,243753,243767,243866,C01,good
粤B0BA49,40,248378,248380,248469,C01,medium
粤B0BA49,62,256836,256841,256984,C01,medium
粤B0AD42,65,108114,108115,108195,D01,medium
粤B0AF42,55,133601,133618,133686,D01,good
粤B0AB41,37,47259,47267,47444,D06,good
粤B0AB41,50,53724,53725,53859,D06,medium
粤B0AF42,20,118579,118581,118649,D06,good
粤B0AD42,5,83510,83510,83560,D08,good
粤B0AD42,69,109967,109967,110016,D08,good
粤B0BB60,6,347222,347222,347280,D09,good
粤B0BB60,15,349570,349570,349626,D09,good
粤B0BB60,23,352258,352260,352349,D09,good
粤B0BB60,31,354767,354771,354800,D09,good
粤B0AC42,5,56158,56158,56213,D10,good
粤B0AF47,0,137469,137469,137535,D10,good
粤B0AF47,7,139958,139960,140000,D10,good
粤B0AF47,30,148533,148533,148576,D10,good
粤B0AF47,35,150318,150319,150399,D10,good
粤B0AF47,39,151755,151756,151807,D10,good
粤B0AF47,48,155086,155087,155176,D10,good
粤B0BX16,1,451188,451195,451300,E01,good
粤B0BX16,37,463857,463862,463932,E01,good
粤B0AC42,29,66980,66980,67031,E11,good
粤B0AC42,33,68388,68389,68431,E11,good
粤B0AC42,40,71620,71620,71690,E11,good
粤B0AC42,52,76373,76374,76447,E11,good
粤B0AB41,47,52256,52256,52368,F02,good
粤B0AC42,54,77268,77268,77313,F02,good
粤B0BA42,6,167891,167891,168005,F02,good
粤B0AA56,44,16044,16044,16126,F07,good
粤B0AC42,6,56610,56612,56727,F07,good
粤B0AC42,31,67657,67657,67699,F07,good
粤B0AD42,53,102511,102514,102589,F07,good
粤B0AF47,24,145977,145988,146056,F07,medium
粤B0AF47,46,154256,154257,154341,F07,good
粤B0BA42,28,177223,177223,177300,F07,bad
粤B0BA42,30,178402,178404,178462,F07,medium
粤B0AA56,35,13143,13155,13207,F08,good
粤B0AA56,48,17318,17320,17386,F08,good
粤B0AC42,4,55728,55728,55785,F08,good
粤B0AD42,41,97846,97850,97928,F08,good
粤B0AD42,60,106288,106289,106346,F08,good
粤B0AF42,46,129812,129812,129891,F08,medium
粤B0AF42,48,130522,130522,130581,F08,good
粤B0AF47,43,153312,153313,153376,F08,good
粤B3BX86,9,3832630,3832630,3832773,F10,good
粤B0AD42,66,108601,108602,108748,FN0002,good
粤B0BX68,9,650529,650533,650672,FN0002,good
粤B28149,54,1800208,1800208,1800252,FN0002,good
粤B2BA45,0,2030920,2030920,2031039,FN0002,good
粤B2BA45,4,2032287,2032287,2032449,FN0002,good
粤B0AA56,72,26091,26091,26215,N02,bad
粤B0AF42,15,116814,116814,116855,N02,good
粤B16442,2,908585,908593,908656,N02,good
粤B0AA56,24,8678,8678,8777,N04,good
粤B0AA56,55,19566,19583,19752,N04,good
粤B0AA56,59,21175,21177,21246,N04,good
粤B0AB41,0,27288,27311,27400,N04,medium
粤B0AB41,1,27729,27735,27754,N04,good
粤B0AD42,27,93129,93157,93319,N04,good
粤B0AD42,34,95274,95275,95354,N04,good
粤B0AF42,2,110797,110797,110922,N04,bad
粤B0AF42,7,113504,113505,113596,N04,good
粤B0BX43,24,544228,544228,544355,PSBYD,good
粤B1AJ43,59,1106859,1106859,1106919,PSBYD,good
粤B29449,2,1833304,1833304,1833318,PSBYD,good
粤B2AA73,52,1888915,1888915,1889001,PSBYD,good
粤B34940,33,2775842,2775842,2775880,PSBYD,good
